time_durations.thisRepN,time_durations.thisTrialN,time_durations.thisN,time_durations.thisIndex,welcomeText.started,welcomeText.stopped,welcomeResp.keys,welcomeResp.rt,welcomeResp.started,welcomeResp.stopped,firstImg.started,firstImg.stopped,blackImg1.started,blackImg1.stopped,secondImg.started,secondImg.stopped,blackImg2.started,blackImg2.stopped,responseImg.started,responseImg.stopped,choice.keys,choice.rt,choice.started,choice.stopped,responseText.started,responseText.stopped,responseRepeat.keys,responseRepeat.rt,responseRepeat.started,responseRepeat.stopped,t1,t2,endText.started,endText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,6.697364084000583,None,space,1.252266561000397,6.697364084000583,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_11_1456,time_perception,2020.2.10,59.92279259760248,
0,0,0,0,,,,,,,7.964350659000047,None,11.965690940000059,None,12.866546809000283,None,18.467373058000703,None,19.46763555400048,None,2,25.15715784599979,19.46763555400048,None,44.64109890600048,None,space,2.067630714000188,44.64109890600048,None,4,5.6,,,,001,2021_мар_11_1456,time_perception,2020.2.10,59.92279259760248,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.72507986900018,None,,,,,,,
