time_durations.thisRepN,time_durations.thisTrialN,time_durations.thisN,time_durations.thisIndex,welcomeResp.keys,welcomeResp.rt,choice.keys,choice.rt,responseRepeat.keys,responseRepeat.rt,t1,t2,t_differences,participant,session,date,expName,psychopyVersion,frameRate,
,,,,space,0.5958418909995089,,,,,,,,,001,2021_мар_11_1517,time_perception,2020.2.10,60.08552585756744,
0,0,0,0,,,1,0.5845975479996923,space,1.2255996880003295,4,5.6,1.5999999999999996,,001,2021_мар_11_1517,time_perception,2020.2.10,60.08552585756744,
